timestamp,level
2025-05-01T00:00:00Z,SEDENTARY
2025-05-01T00:01:00Z,SEDENTARY
2025-05-01T00:02:00Z,SEDENTARY
2025-05-01T00:03:00Z,SEDENTARY
2025-05-01T00:04:00Z,SEDENTARY
2025-05-01T00:05:00Z,SEDENTARY
2025-05-01T00:06:00Z,SEDENTARY
2025-05-01T00:07:00Z,SEDENTARY
2025-05-01T00:08:00Z,SEDENTARY
2025-05-01T00:09:00Z,SEDENTARY
2025-05-01T00:10:00Z,SEDENTARY
2025-05-01T00:11:00Z,SEDENTARY
2025-05-01T00:12:00Z,SEDENTARY
2025-05-01T00:13:00Z,SEDENTARY
2025-05-01T00:14:00Z,SEDENTARY
2025-05-01T00:15:00Z,SEDENTARY
2025-05-01T00:16:00Z,SEDENTARY
2025-05-01T00:17:00Z,SEDENTARY
2025-05-01T00:18:00Z,SEDENTARY
2025-05-01T00:19:00Z,SEDENTARY
2025-05-01T00:20:00Z,SEDENTARY
2025-05-01T00:21:00Z,SEDENTARY
2025-05-01T00:22:00Z,SEDENTARY
2025-05-01T00:23:00Z,SEDENTARY
2025-05-01T00:24:00Z,SEDENTARY
2025-05-01T00:25:00Z,SEDENTARY
2025-05-01T00:26:00Z,SEDENTARY
2025-05-01T00:27:00Z,SEDENTARY
2025-05-01T00:28:00Z,SEDENTARY
2025-05-01T00:29:00Z,SEDENTARY
2025-05-01T00:30:00Z,SEDENTARY
2025-05-01T00:31:00Z,SEDENTARY
2025-05-01T00:32:00Z,SEDENTARY
2025-05-01T00:33:00Z,SEDENTARY
2025-05-01T00:34:00Z,SEDENTARY
2025-05-01T00:35:00Z,SEDENTARY
2025-05-01T00:36:00Z,SEDENTARY
2025-05-01T00:37:00Z,SEDENTARY
2025-05-01T00:38:00Z,SEDENTARY
2025-05-01T00:39:00Z,SEDENTARY
2025-05-01T00:40:00Z,LIGHTLY_ACTIVE
2025-05-01T00:41:00Z,SEDENTARY
2025-05-01T00:42:00Z,SEDENTARY
2025-05-01T00:43:00Z,SEDENTARY
2025-05-01T00:44:00Z,LIGHTLY_ACTIVE
2025-05-01T00:45:00Z,SEDENTARY
2025-05-01T00:46:00Z,SEDENTARY
2025-05-01T00:47:00Z,SEDENTARY
2025-05-01T00:48:00Z,LIGHTLY_ACTIVE
2025-05-01T00:49:00Z,VERY_ACTIVE
2025-05-01T00:50:00Z,VERY_ACTIVE
2025-05-01T00:51:00Z,MODERATELY_ACTIVE
2025-05-01T00:52:00Z,MODERATELY_ACTIVE
2025-05-01T00:53:00Z,VERY_ACTIVE
2025-05-01T00:54:00Z,VERY_ACTIVE
2025-05-01T00:55:00Z,MODERATELY_ACTIVE
2025-05-01T00:56:00Z,SEDENTARY
2025-05-01T00:57:00Z,SEDENTARY
2025-05-01T00:58:00Z,SEDENTARY
2025-05-01T00:59:00Z,SEDENTARY
2025-05-01T01:00:00Z,SEDENTARY
2025-05-01T01:01:00Z,SEDENTARY
2025-05-01T01:02:00Z,SEDENTARY
2025-05-01T01:03:00Z,SEDENTARY
2025-05-01T01:04:00Z,SEDENTARY
2025-05-01T01:05:00Z,SEDENTARY
2025-05-01T01:06:00Z,SEDENTARY
2025-05-01T01:07:00Z,SEDENTARY
2025-05-01T01:08:00Z,SEDENTARY
2025-05-01T01:09:00Z,SEDENTARY
2025-05-01T01:10:00Z,SEDENTARY
2025-05-01T01:11:00Z,SEDENTARY
2025-05-01T01:12:00Z,SEDENTARY
2025-05-01T01:13:00Z,SEDENTARY
2025-05-01T01:14:00Z,SEDENTARY
2025-05-01T01:15:00Z,SEDENTARY
2025-05-01T01:16:00Z,SEDENTARY
2025-05-01T01:17:00Z,SEDENTARY
2025-05-01T01:18:00Z,SEDENTARY
2025-05-01T01:19:00Z,SEDENTARY
2025-05-01T01:20:00Z,SEDENTARY
2025-05-01T01:21:00Z,SEDENTARY
2025-05-01T01:22:00Z,SEDENTARY
2025-05-01T01:23:00Z,SEDENTARY
2025-05-01T01:24:00Z,SEDENTARY
2025-05-01T01:25:00Z,SEDENTARY
2025-05-01T01:26:00Z,SEDENTARY
2025-05-01T01:27:00Z,SEDENTARY
2025-05-01T01:28:00Z,LIGHTLY_ACTIVE
2025-05-01T01:29:00Z,SEDENTARY
2025-05-01T01:30:00Z,SEDENTARY
2025-05-01T01:31:00Z,LIGHTLY_ACTIVE
2025-05-01T01:32:00Z,SEDENTARY
2025-05-01T01:33:00Z,SEDENTARY
2025-05-01T01:34:00Z,SEDENTARY
2025-05-01T01:35:00Z,SEDENTARY
2025-05-01T01:36:00Z,SEDENTARY
2025-05-01T01:37:00Z,LIGHTLY_ACTIVE
2025-05-01T01:38:00Z,SEDENTARY
2025-05-01T01:39:00Z,SEDENTARY
2025-05-01T01:40:00Z,SEDENTARY
2025-05-01T01:41:00Z,SEDENTARY
2025-05-01T01:42:00Z,SEDENTARY
2025-05-01T01:43:00Z,SEDENTARY
2025-05-01T01:44:00Z,LIGHTLY_ACTIVE
2025-05-01T01:45:00Z,SEDENTARY
2025-05-01T01:46:00Z,SEDENTARY
2025-05-01T01:47:00Z,SEDENTARY
2025-05-01T01:48:00Z,SEDENTARY
2025-05-01T01:49:00Z,SEDENTARY
2025-05-01T01:50:00Z,SEDENTARY
2025-05-01T01:51:00Z,SEDENTARY
2025-05-01T01:52:00Z,SEDENTARY
2025-05-01T01:53:00Z,SEDENTARY
2025-05-01T01:54:00Z,SEDENTARY
2025-05-01T01:55:00Z,SEDENTARY
2025-05-01T01:56:00Z,SEDENTARY
2025-05-01T01:57:00Z,SEDENTARY
2025-05-01T01:58:00Z,SEDENTARY
2025-05-01T01:59:00Z,SEDENTARY
2025-05-01T02:00:00Z,SEDENTARY
2025-05-01T02:01:00Z,SEDENTARY
2025-05-01T02:02:00Z,SEDENTARY
2025-05-01T02:03:00Z,SEDENTARY
2025-05-01T02:04:00Z,SEDENTARY
2025-05-01T02:05:00Z,SEDENTARY
2025-05-01T02:06:00Z,SEDENTARY
2025-05-01T02:07:00Z,SEDENTARY
2025-05-01T02:08:00Z,SEDENTARY
2025-05-01T02:09:00Z,SEDENTARY
2025-05-01T02:10:00Z,SEDENTARY
2025-05-01T02:11:00Z,SEDENTARY
2025-05-01T02:12:00Z,SEDENTARY
2025-05-01T02:13:00Z,SEDENTARY
2025-05-01T02:14:00Z,SEDENTARY
2025-05-01T02:15:00Z,SEDENTARY
2025-05-01T02:16:00Z,SEDENTARY
2025-05-01T02:17:00Z,SEDENTARY
2025-05-01T02:18:00Z,SEDENTARY
2025-05-01T02:19:00Z,SEDENTARY
2025-05-01T02:20:00Z,SEDENTARY
2025-05-01T02:21:00Z,SEDENTARY
2025-05-01T02:22:00Z,SEDENTARY
2025-05-01T02:23:00Z,LIGHTLY_ACTIVE
2025-05-01T02:24:00Z,MODERATELY_ACTIVE
2025-05-01T02:25:00Z,LIGHTLY_ACTIVE
2025-05-01T02:26:00Z,SEDENTARY
2025-05-01T02:27:00Z,SEDENTARY
2025-05-01T02:28:00Z,SEDENTARY
2025-05-01T02:29:00Z,SEDENTARY
2025-05-01T02:30:00Z,SEDENTARY
2025-05-01T02:31:00Z,SEDENTARY
2025-05-01T02:32:00Z,SEDENTARY
2025-05-01T02:33:00Z,SEDENTARY
2025-05-01T02:34:00Z,SEDENTARY
2025-05-01T02:35:00Z,SEDENTARY
2025-05-01T02:36:00Z,SEDENTARY
2025-05-01T02:37:00Z,SEDENTARY
2025-05-01T02:38:00Z,SEDENTARY
2025-05-01T02:39:00Z,SEDENTARY
2025-05-01T02:40:00Z,SEDENTARY
2025-05-01T02:41:00Z,LIGHTLY_ACTIVE
2025-05-01T02:42:00Z,SEDENTARY
2025-05-01T02:43:00Z,SEDENTARY
2025-05-01T02:44:00Z,LIGHTLY_ACTIVE
2025-05-01T02:45:00Z,SEDENTARY
2025-05-01T02:46:00Z,SEDENTARY
2025-05-01T02:47:00Z,SEDENTARY
2025-05-01T02:48:00Z,SEDENTARY
2025-05-01T02:49:00Z,SEDENTARY
2025-05-01T02:50:00Z,SEDENTARY
2025-05-01T02:51:00Z,SEDENTARY
2025-05-01T02:52:00Z,SEDENTARY
2025-05-01T02:53:00Z,SEDENTARY
2025-05-01T02:54:00Z,SEDENTARY
2025-05-01T02:55:00Z,SEDENTARY
2025-05-01T02:56:00Z,SEDENTARY
2025-05-01T02:57:00Z,SEDENTARY
2025-05-01T02:58:00Z,SEDENTARY
2025-05-01T02:59:00Z,SEDENTARY
2025-05-01T03:00:00Z,SEDENTARY
2025-05-01T03:01:00Z,SEDENTARY
2025-05-01T03:02:00Z,SEDENTARY
2025-05-01T03:03:00Z,SEDENTARY
2025-05-01T03:04:00Z,SEDENTARY
2025-05-01T03:05:00Z,SEDENTARY
2025-05-01T03:06:00Z,SEDENTARY
2025-05-01T03:07:00Z,SEDENTARY
2025-05-01T03:08:00Z,SEDENTARY
2025-05-01T03:09:00Z,SEDENTARY
2025-05-01T03:10:00Z,SEDENTARY
2025-05-01T03:11:00Z,SEDENTARY
2025-05-01T03:12:00Z,SEDENTARY
2025-05-01T03:13:00Z,SEDENTARY
2025-05-01T03:14:00Z,SEDENTARY
2025-05-01T03:15:00Z,LIGHTLY_ACTIVE
2025-05-01T03:16:00Z,MODERATELY_ACTIVE
2025-05-01T03:17:00Z,MODERATELY_ACTIVE
2025-05-01T03:18:00Z,LIGHTLY_ACTIVE
2025-05-01T03:19:00Z,SEDENTARY
2025-05-01T03:20:00Z,LIGHTLY_ACTIVE
2025-05-01T03:21:00Z,SEDENTARY
2025-05-01T03:22:00Z,SEDENTARY
2025-05-01T03:23:00Z,SEDENTARY
2025-05-01T03:24:00Z,SEDENTARY
2025-05-01T03:25:00Z,SEDENTARY
2025-05-01T03:26:00Z,SEDENTARY
2025-05-01T03:27:00Z,SEDENTARY
2025-05-01T03:28:00Z,SEDENTARY
2025-05-01T03:29:00Z,SEDENTARY
2025-05-01T03:30:00Z,SEDENTARY
2025-05-01T03:31:00Z,SEDENTARY
2025-05-01T03:32:00Z,SEDENTARY
2025-05-01T03:33:00Z,SEDENTARY
2025-05-01T03:34:00Z,LIGHTLY_ACTIVE
2025-05-01T03:35:00Z,SEDENTARY
2025-05-01T03:36:00Z,LIGHTLY_ACTIVE
2025-05-01T03:37:00Z,SEDENTARY
2025-05-01T03:38:00Z,SEDENTARY
2025-05-01T03:39:00Z,SEDENTARY
2025-05-01T03:40:00Z,SEDENTARY
2025-05-01T03:41:00Z,SEDENTARY
2025-05-01T03:42:00Z,SEDENTARY
2025-05-01T03:43:00Z,SEDENTARY
2025-05-01T03:44:00Z,SEDENTARY
2025-05-01T03:45:00Z,SEDENTARY
2025-05-01T03:46:00Z,SEDENTARY
2025-05-01T03:47:00Z,LIGHTLY_ACTIVE
2025-05-01T03:48:00Z,SEDENTARY
2025-05-01T03:49:00Z,SEDENTARY
2025-05-01T03:50:00Z,SEDENTARY
2025-05-01T03:51:00Z,SEDENTARY
2025-05-01T03:52:00Z,SEDENTARY
2025-05-01T03:53:00Z,LIGHTLY_ACTIVE
2025-05-01T03:54:00Z,SEDENTARY
2025-05-01T03:55:00Z,SEDENTARY
2025-05-01T03:56:00Z,SEDENTARY
2025-05-01T03:57:00Z,LIGHTLY_ACTIVE
2025-05-01T03:58:00Z,SEDENTARY
2025-05-01T03:59:00Z,SEDENTARY
2025-05-01T04:00:00Z,LIGHTLY_ACTIVE
2025-05-01T04:01:00Z,LIGHTLY_ACTIVE
2025-05-01T04:02:00Z,SEDENTARY
2025-05-01T04:03:00Z,SEDENTARY
2025-05-01T04:04:00Z,SEDENTARY
2025-05-01T04:05:00Z,SEDENTARY
2025-05-01T04:06:00Z,SEDENTARY
2025-05-01T04:07:00Z,LIGHTLY_ACTIVE
2025-05-01T04:08:00Z,LIGHTLY_ACTIVE
2025-05-01T04:09:00Z,SEDENTARY
2025-05-01T04:10:00Z,LIGHTLY_ACTIVE
2025-05-01T04:11:00Z,SEDENTARY
2025-05-01T04:12:00Z,LIGHTLY_ACTIVE
2025-05-01T04:13:00Z,SEDENTARY
2025-05-01T04:14:00Z,LIGHTLY_ACTIVE
2025-05-01T04:15:00Z,LIGHTLY_ACTIVE
2025-05-01T04:16:00Z,SEDENTARY
2025-05-01T04:17:00Z,SEDENTARY
2025-05-01T04:18:00Z,SEDENTARY
2025-05-01T04:19:00Z,SEDENTARY
2025-05-01T04:20:00Z,LIGHTLY_ACTIVE
2025-05-01T04:21:00Z,LIGHTLY_ACTIVE
2025-05-01T04:22:00Z,SEDENTARY
2025-05-01T04:23:00Z,SEDENTARY
2025-05-01T04:24:00Z,SEDENTARY
2025-05-01T04:25:00Z,SEDENTARY
2025-05-01T04:26:00Z,SEDENTARY
2025-05-01T04:27:00Z,SEDENTARY
2025-05-01T04:29:00Z,SEDENTARY
2025-05-01T04:30:00Z,LIGHTLY_ACTIVE
2025-05-01T04:32:00Z,SEDENTARY
