timestamp,Infrared to Red Signal Ratio
12/01/24 00:00:31,0
12/01/24 00:01:31,0
12/01/24 00:02:31,0
12/01/24 00:03:31,0
12/01/24 00:04:31,0
12/01/24 00:05:31,0
12/01/24 00:06:31,0
12/01/24 00:07:31,0
12/01/24 00:08:31,0
12/01/24 00:09:31,0
12/01/24 00:10:31,0
12/01/24 00:11:31,0
12/01/24 00:12:31,0
12/01/24 00:13:31,0
12/01/24 00:14:31,0
12/01/24 00:15:31,0
12/01/24 00:16:31,0
12/01/24 00:17:31,0
12/01/24 00:18:31,0
12/01/24 00:19:31,0
12/01/24 00:20:31,0
12/01/24 00:21:31,0
12/01/24 00:22:31,0
12/01/24 00:23:31,0
12/01/24 00:24:31,0
12/01/24 00:25:31,0
12/01/24 00:26:31,0
12/01/24 00:27:31,0
12/01/24 00:28:31,0
12/01/24 00:29:31,0
12/01/24 00:30:31,0
12/01/24 00:31:31,0
12/01/24 00:32:31,0
12/01/24 00:33:31,0
12/01/24 00:34:31,0
12/01/24 00:35:31,0
12/01/24 00:36:31,0
12/01/24 00:37:31,0
12/01/24 00:38:31,0
12/01/24 00:39:31,0
12/01/24 00:40:31,0
12/01/24 00:41:31,0
12/01/24 00:42:31,0
12/01/24 00:43:31,0
12/01/24 00:44:31,0
12/01/24 00:45:31,0
12/01/24 00:46:31,0
12/01/24 00:47:31,0
12/01/24 00:48:31,0
12/01/24 00:49:31,0
12/01/24 00:50:31,0
12/01/24 00:51:31,0
12/01/24 00:52:31,0
12/01/24 00:53:31,0
12/01/24 00:54:31,0
12/01/24 00:55:31,0
12/01/24 00:56:31,0
12/01/24 00:57:31,0
12/01/24 00:58:31,0
12/01/24 00:59:31,0
12/01/24 01:00:31,0
12/01/24 01:01:31,0
12/01/24 01:02:31,0
12/01/24 01:03:31,0
12/01/24 01:04:31,0
12/01/24 01:05:31,0
12/01/24 01:06:31,0
12/01/24 01:07:31,0
12/01/24 01:08:31,0
12/01/24 01:09:31,0
12/01/24 01:10:31,0
12/01/24 01:11:31,0
12/01/24 01:12:31,0
12/01/24 01:13:31,0
12/01/24 01:14:31,0
12/01/24 01:15:31,0
12/01/24 01:16:31,0
12/01/24 01:17:31,0
12/01/24 01:18:31,0
12/01/24 01:19:31,0
12/01/24 01:20:31,0
12/01/24 01:21:31,0
12/01/24 01:22:31,0
12/01/24 01:23:31,0
12/01/24 01:24:31,0
12/01/24 01:25:31,0
12/01/24 01:26:31,0
12/01/24 01:27:31,0
12/01/24 01:28:31,0
12/01/24 01:29:31,0
12/01/24 01:30:31,0
12/01/24 01:31:31,0
12/01/24 01:32:31,0
12/01/24 01:33:31,0
12/01/24 01:34:31,0
12/01/24 01:35:31,0
12/01/24 01:36:31,0
12/01/24 01:37:31,0
12/01/24 01:38:31,0
12/01/24 01:39:31,0
12/01/24 01:40:31,0
12/01/24 01:41:31,0
12/01/24 01:42:31,0
12/01/24 01:43:31,0
12/01/24 01:44:31,0
12/01/24 01:45:31,0
12/01/24 01:46:31,0
12/01/24 01:47:31,0
12/01/24 01:48:31,0
12/01/24 01:49:31,0
12/01/24 01:50:31,0
12/01/24 01:51:31,0
12/01/24 01:52:31,0
12/01/24 01:53:31,0
12/01/24 01:54:31,0
12/01/24 01:55:31,0
12/01/24 01:56:31,0
12/01/24 01:57:31,0
12/01/24 01:58:31,0
12/01/24 01:59:31,0
12/01/24 02:00:31,0
12/01/24 02:01:31,0
12/01/24 02:02:31,0
12/01/24 02:03:31,0
12/01/24 02:04:31,0
12/01/24 02:05:31,0
12/01/24 02:06:31,0
12/01/24 02:07:31,0
12/01/24 02:08:31,0
12/01/24 02:09:31,0
12/01/24 02:10:31,0
12/01/24 02:11:31,0
12/01/24 02:12:31,0
12/01/24 02:13:31,0
12/01/24 02:14:31,0
12/01/24 02:15:31,0
12/01/24 02:16:31,0
12/01/24 02:17:31,0
12/01/24 02:18:31,0
12/01/24 02:19:31,0
12/01/24 02:20:31,0
12/01/24 02:21:31,0
12/01/24 02:22:31,0
12/01/24 02:23:31,0
12/01/24 02:24:31,0
12/01/24 02:25:31,0
12/01/24 02:26:31,0
12/01/24 02:27:31,0
12/01/24 02:28:31,0
12/01/24 02:29:31,0
12/01/24 02:30:31,0
12/01/24 02:31:31,0
