timestamp,value
2025-08-01T06:03:20Z,50.0
2025-08-01T06:04:20Z,50.0
2025-08-01T06:05:20Z,50.0
2025-08-01T06:06:20Z,95.3
2025-08-01T06:07:20Z,50.0
2025-08-01T06:08:20Z,50.0
2025-08-01T06:47:50Z,92.9
2025-08-01T06:48:50Z,93.0
2025-08-01T06:49:50Z,93.2
2025-08-01T06:50:50Z,93.5
2025-08-01T06:51:50Z,93.7
2025-08-01T06:52:50Z,93.4
2025-08-01T06:53:50Z,50.0
2025-08-01T17:01:20Z,95.0
2025-08-01T17:02:20Z,50.0
2025-08-01T17:03:20Z,50.0
2025-08-01T17:04:20Z,94.9
2025-08-01T17:05:20Z,94.8
2025-08-01T17:06:20Z,94.9
2025-08-01T17:07:20Z,95.0
2025-08-01T17:16:50Z,91.6
2025-08-01T17:17:50Z,91.7
2025-08-01T17:18:50Z,91.9
2025-08-01T17:19:50Z,92.6
2025-08-01T17:20:50Z,92.3
2025-08-01T17:21:50Z,91.4
2025-08-01T17:22:50Z,91.6
2025-08-01T17:23:50Z,50.0
2025-08-01T17:24:50Z,91.5
2025-08-01T17:25:50Z,91.4
2025-08-01T17:26:50Z,91.2
2025-08-01T17:27:50Z,91.5
2025-08-01T17:28:50Z,91.6
2025-08-01T17:29:50Z,92.6
2025-08-01T17:30:50Z,93.3
2025-08-01T17:31:50Z,93.8
2025-08-01T17:32:50Z,94.6
2025-08-01T17:33:50Z,50.0
2025-08-01T17:34:50Z,95.1
2025-08-01T17:35:50Z,94.3
2025-08-01T17:36:50Z,93.8
2025-08-01T17:37:50Z,93.6
2025-08-01T17:38:50Z,93.4
2025-08-01T17:39:50Z,50.0
2025-08-01T17:40:50Z,93.2
2025-08-01T17:41:50Z,92.8
2025-08-01T17:42:50Z,92.7
2025-08-01T17:43:50Z,92.7
2025-08-01T17:44:50Z,92.6
2025-08-01T17:45:50Z,92.6
2025-08-01T17:46:50Z,92.6
2025-08-01T17:47:50Z,92.5
2025-08-01T17:48:50Z,92.7
2025-08-01T17:49:50Z,92.9
2025-08-01T17:50:50Z,93.0
2025-08-01T17:51:50Z,92.6
2025-08-01T17:52:50Z,50.0
2025-08-01T17:53:50Z,94.4
2025-08-01T17:54:50Z,50.0
2025-08-01T17:55:50Z,94.5
2025-08-01T17:56:50Z,94.0
2025-08-01T17:57:50Z,93.6
2025-08-01T17:58:50Z,92.9
2025-08-01T17:59:50Z,92.8
2025-08-01T18:00:50Z,92.5
2025-08-01T18:01:50Z,50.0
2025-08-01T18:02:50Z,92.8
2025-08-01T18:03:50Z,50.0
2025-08-01T18:04:50Z,50.0
2025-08-01T18:05:50Z,92.0
2025-08-01T18:06:50Z,50.0
2025-08-01T18:07:50Z,50.0
2025-08-01T18:08:50Z,50.0
2025-08-01T18:09:50Z,92.2
2025-08-01T18:10:50Z,92.5
2025-08-01T18:11:50Z,92.8
2025-08-01T18:12:50Z,93.2
2025-08-01T18:13:50Z,93.2
2025-08-01T18:14:50Z,93.4
2025-08-01T18:15:50Z,93.4
2025-08-01T18:16:50Z,93.4
2025-08-01T18:17:50Z,93.5
2025-08-01T18:18:50Z,93.7
2025-08-01T18:19:50Z,93.8
2025-08-01T18:20:50Z,94.1
2025-08-01T18:21:50Z,94.1
2025-08-01T18:22:50Z,94.1
2025-08-01T18:23:50Z,50.0
2025-08-01T18:24:50Z,94.3
2025-08-01T18:25:50Z,94.8
2025-08-01T18:26:50Z,95.3
2025-08-01T18:27:50Z,95.7
2025-08-01T18:28:50Z,95.9
2025-08-01T18:29:50Z,95.8
2025-08-01T18:30:50Z,95.5
2025-08-01T18:31:50Z,50.0
2025-08-01T18:32:50Z,50.0
2025-08-01T18:33:50Z,95.4
2025-08-01T18:34:50Z,95.1
2025-08-01T18:35:50Z,95.0
2025-08-01T18:36:50Z,95.1
2025-08-01T18:37:50Z,95.1
2025-08-01T18:38:50Z,95.1
2025-08-01T18:39:50Z,95.2
2025-08-01T18:40:50Z,95.2
2025-08-01T18:41:50Z,95.2
2025-08-01T18:42:50Z,95.1
2025-08-01T18:43:50Z,95.1
2025-08-01T18:44:50Z,95.2
2025-08-01T18:45:50Z,95.0
2025-08-01T18:46:50Z,95.0
2025-08-01T18:47:50Z,95.0
2025-08-01T18:48:50Z,95.1
2025-08-01T18:49:50Z,95.1
2025-08-01T18:50:50Z,94.9
2025-08-01T18:51:50Z,95.3
2025-08-01T18:52:50Z,95.3
2025-08-01T18:53:50Z,95.3
2025-08-01T18:54:50Z,95.3
2025-08-01T18:55:50Z,95.3
2025-08-01T18:56:50Z,95.3
2025-08-01T18:57:50Z,95.3
2025-08-01T18:58:50Z,95.3
2025-08-01T18:59:50Z,50.0
2025-08-01T19:00:50Z,95.2
2025-08-01T19:01:50Z,94.9
2025-08-01T19:02:50Z,94.7
2025-08-01T19:03:50Z,94.7
2025-08-01T19:04:50Z,94.6
2025-08-01T19:05:50Z,94.7
2025-08-01T19:06:50Z,94.7
2025-08-01T19:07:50Z,94.4
2025-08-01T19:08:50Z,50.0
2025-08-01T19:09:50Z,94.3
2025-08-01T19:10:50Z,93.7
2025-08-01T19:11:50Z,50.0
2025-08-01T19:12:50Z,50.0
2025-08-01T19:13:50Z,94.3
2025-08-01T19:14:50Z,50.0
2025-08-01T19:15:50Z,94.5
2025-08-01T19:16:50Z,95.0
2025-08-01T19:17:50Z,95.4
2025-08-01T19:18:50Z,95.5
2025-08-01T19:19:50Z,96.2
2025-08-01T19:20:50Z,96.2
2025-08-01T19:21:50Z,96.3
2025-08-01T19:22:50Z,96.3
2025-08-01T19:23:50Z,96.4
2025-08-01T19:24:50Z,96.9
2025-08-01T19:25:50Z,95.4
2025-08-01T19:26:50Z,93.1
2025-08-01T19:27:50Z,93.0
2025-08-01T19:28:50Z,92.4
2025-08-01T19:29:50Z,92.1
2025-08-01T19:30:50Z,93.4
2025-08-01T19:31:50Z,50.0
2025-08-01T19:32:50Z,50.0
2025-08-01T19:33:50Z,50.0
2025-08-01T19:34:50Z,90.6
2025-08-01T19:35:50Z,50.0
2025-08-01T19:36:50Z,50.0
2025-08-01T19:37:50Z,90.4
2025-08-01T19:38:50Z,50.0
2025-08-01T19:39:50Z,91.9
2025-08-01T19:40:50Z,92.4
2025-08-01T19:41:50Z,93.0
2025-08-01T19:42:50Z,93.3
2025-08-01T19:43:50Z,93.6
2025-08-01T19:44:50Z,93.9
2025-08-01T19:45:50Z,94.1
2025-08-01T19:46:50Z,93.9
2025-08-01T19:47:50Z,50.0
2025-08-01T19:48:50Z,50.0
2025-08-01T19:49:50Z,50.0
2025-08-01T19:50:50Z,93.2
2025-08-01T19:51:50Z,93.3
2025-08-01T19:52:50Z,93.3
2025-08-01T19:53:50Z,93.1
